Frequency (Hz),S12 Real,S12 Imaginary
394239423,0.675513,-0.0293151
394839483,0.675198,-0.0392655
395439543,0.674861,-0.0493521
396039603,0.674379,-0.059466
396639663,0.673623,-0.0693239
397239723,0.672923,-0.0792589
397839783,0.671805,-0.0897469
398439843,0.670705,-0.0994424
399039903,0.669396,-0.109534
399639963,0.667957,-0.119802
400240024,0.666323,-0.129941
400840084,0.664569,-0.139693
401440144,0.662787,-0.149713
402040204,0.660594,-0.159734
402640264,0.65834,-0.169577
403240324,0.655939,-0.179318
403840384,0.653377,-0.18923
404440444,0.650651,-0.199022
405040504,0.647767,-0.209097
405640564,0.644722,-0.218876
406240624,0.641626,-0.228372
406840684,0.63838,-0.238138
407440744,0.634895,-0.247766
408040804,0.631217,-0.257297
408640864,0.627511,-0.266474
409240924,0.62363,-0.275897
409840984,0.619348,-0.285627
410441044,0.615137,-0.29481
411041104,0.610781,-0.304098
411641164,0.606238,-0.313317
412241224,0.601654,-0.322452
412841284,0.596913,-0.331423
413441344,0.591932,-0.340589
414041404,0.586816,-0.349439
414641464,0.581795,-0.35819
415241524,0.576464,-0.366947
415841584,0.57098,-0.375649
416441644,0.565333,-0.384492
417041704,0.559452,-0.393202
417641764,0.553563,-0.401539
418241824,0.547592,-0.409819
418841884,0.541535,-0.418079
419441944,0.535473,-0.426096
420042004,0.529004,-0.434255
420642064,0.522406,-0.442341
421242124,0.515671,-0.450429
421842184,0.508946,-0.458074
422442244,0.502055,-0.46595
423042304,0.494924,-0.473296
423642364,0.487645,-0.480934
424242424,0.480288,-0.488527
424842484,0.472882,-0.495553
425442544,0.465398,-0.502855
426042604,0.457678,-0.50996
426642664,0.449926,-0.516779
427242724,0.44213,-0.523323
427842784,0.434019,-0.530157
428442844,0.425853,-0.536674
429042904,0.417878,-0.542898
429642964,0.409695,-0.54917
430243024,0.401512,-0.555079
430843084,0.393172,-0.561176
431443144,0.384529,-0.566963
432043204,0.376009,-0.572694
432643264,0.367003,-0.578363
433243324,0.358364,-0.583771
433843384,0.349456,-0.58903
434443444,0.340643,-0.594057
435043504,0.331814,-0.59897
435643564,0.322551,-0.604037
436243624,0.313209,-0.608811
436843684,0.304312,-0.613275
437443744,0.295193,-0.6176
438043804,0.286056,-0.62181
438643864,0.276862,-0.62593
439243924,0.267594,-0.629785
439843984,0.258392,-0.633617
440444044,0.248758,-0.637476
441044104,0.239383,-0.641175
441644164,0.229989,-0.644636
442244224,0.220541,-0.647938
442844284,0.211082,-0.651193
443444344,0.201417,-0.654425
444044404,0.191955,-0.657458
444644464,0.182192,-0.660154
445244524,0.172609,-0.662864
445844584,0.162626,-0.665694
446444644,0.152725,-0.66806
447044704,0.142645,-0.670508
447644764,0.132823,-0.672508
448244824,0.122878,-0.6746
448844884,0.112721,-0.676523
449444944,0.102342,-0.678246
450045004,0.0925887,-0.679724
450645064,0.0822622,-0.681174
451245124,0.0722948,-0.682477
451845184,0.0618037,-0.68351
452445244,0.0518009,-0.684448
453045304,0.0414484,-0.685098
453645364,0.0312922,-0.685667
454245424,0.0209519,-0.685961
454845484,0.0107324,-0.686263
455445544,0.000433529,-0.686297
456045604,-0.00984222,-0.686122
456645664,-0.0198637,-0.685987
457245724,-0.0301161,-0.685618
457845784,-0.0402888,-0.685021
458445844,-0.0504941,-0.684322
459045904,-0.0605218,-0.683423
459645964,-0.0705619,-0.682306
460246024,-0.0809727,-0.681214
460846084,-0.0911541,-0.679875
461446144,-0.101225,-0.678427
462046204,-0.111369,-0.676779
462646264,-0.121449,-0.674927
463246324,-0.131519,-0.67303
463846384,-0.141419,-0.670955
464446444,-0.151469,-0.668721
465046504,-0.161578,-0.666302
465646564,-0.171286,-0.663805
466246624,-0.181365,-0.660986
466846684,-0.191062,-0.658113
467446744,-0.201036,-0.654988
468046804,-0.210637,-0.65196
468646864,-0.220063,-0.648611
469246924,-0.229949,-0.645148
469846984,-0.239333,-0.641517
470447044,-0.249006,-0.637694
471047104,-0.258212,-0.633828
471647164,-0.267841,-0.629749
472247224,-0.277136,-0.625681
472847284,-0.286485,-0.621249
473447344,-0.295445,-0.616815
474047404,-0.304631,-0.612115
474647464,-0.313767,-0.607197
475247524,-0.322797,-0.602355
475847584,-0.331729,-0.597231
476447644,-0.340685,-0.591966
477047704,-0.349335,-0.586648
477647764,-0.357823,-0.581285
478247824,-0.366373,-0.575651
478847884,-0.374978,-0.569895
479447944,-0.383082,-0.564093
480048004,-0.391516,-0.558009
480648064,-0.399866,-0.551775
481248124,-0.407878,-0.545542
481848184,-0.415859,-0.539074
482448244,-0.423679,-0.532596
483048304,-0.431607,-0.525932
483648364,-0.43947,-0.518997
484248424,-0.446881,-0.512141
484848484,-0.454287,-0.505239
485448544,-0.461407,-0.498285
486048604,-0.468797,-0.490992
486648664,-0.475865,-0.483644
487248724,-0.482889,-0.476309
487848784,-0.489602,-0.468605
488448844,-0.496405,-0.461071
489048904,-0.502974,-0.453433
489648964,-0.509508,-0.445572
490249024,-0.515806,-0.437613
490849084,-0.522141,-0.429556
491449144,-0.528135,-0.421353
492049204,-0.534159,-0.413385
492649264,-0.540004,-0.404942
493249324,-0.545821,-0.396499
493849384,-0.551424,-0.387948
494449444,-0.556779,-0.379495
495049504,-0.562023,-0.370848
495649564,-0.566923,-0.362441
496249624,-0.572078,-0.35361
496849684,-0.57694,-0.344647
497449744,-0.581641,-0.335874
498049804,-0.586171,-0.326926
498649864,-0.590798,-0.317796
499249924,-0.595021,-0.308544
